timestamp,src_ip,src_port,dst_ip,dst_port,protocol,transport,connection_type
2025-01-09 21:32:42.643838,138.219.201.243,22813,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:32:43.227251,138.219.201.243,59374,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:32:43.810564,138.219.201.243,59380,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:32:45.432783,138.219.201.243,22851,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:32:46.033101,138.219.201.243,22890,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:32:46.660697,138.219.201.243,22907,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:32:47.271148,138.219.201.243,59408,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:32:48.124169,138.219.201.243,22941,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:32:48.725418,138.219.201.243,22958,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:32:49.323524,138.219.201.243,59430,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:32:49.896481,138.219.201.243,22988,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:32:50.468015,138.219.201.243,22996,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:32:52.078096,138.219.201.243,23021,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:32:52.771752,138.219.201.243,23060,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:32:53.369668,138.219.201.243,23085,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:32:53.951921,138.219.201.243,23103,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:32:54.553128,138.219.201.243,23121,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:32:55.141813,138.219.201.243,59494,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:32:55.732273,138.219.201.243,23146,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:32:56.333715,138.219.201.243,23168,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:32:56.930467,138.219.201.243,23180,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:32:57.526087,138.219.201.243,23202,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:32:58.148646,138.219.201.243,23213,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:32:58.758526,138.219.201.243,23230,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:32:59.365972,138.219.201.243,23253,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:32:59.993470,138.219.201.243,59540,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:33:00.600398,138.219.201.243,59550,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:33:01.189216,138.219.201.243,59554,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:33:01.780821,138.219.201.243,23316,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:33:02.384993,138.219.201.243,23337,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:33:02.969227,138.219.201.243,23354,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:33:03.545410,138.219.201.243,23373,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:33:04.137341,138.219.201.243,23381,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:33:04.743733,138.219.201.243,23399,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:33:05.327932,138.219.201.243,23418,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:33:05.922214,138.219.201.243,23427,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:33:06.529398,138.219.201.243,23455,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:33:07.140546,138.219.201.243,23466,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:33:07.754878,138.219.201.243,23486,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:33:08.381346,138.219.201.243,59622,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:33:08.972984,138.219.201.243,23522,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:33:09.559044,138.219.201.243,23542,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:33:10.136436,138.219.201.243,23552,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:33:10.712278,138.219.201.243,23571,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:33:11.311050,138.219.201.243,23595,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:33:11.925766,138.219.201.243,23609,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:33:12.532151,138.219.201.243,23629,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:33:13.114055,138.219.201.243,23640,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:33:13.709407,138.219.201.243,23657,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:33:14.322155,138.219.201.243,23678,192.168.128.2,445,smbd,tcp,accept
